Subject,Gender,Handedness,Condition,TimeAxis,QuantityAxis ,ValenceAxis,TimeDirection,QuantityDirection,ValenceDirection,TimeInterview,TimeTimeline,TimeClock,TimeMaths,TimeNumber,TimeHandedness,TimeWriting,TimeEnvironment,TimeHierarchy,TimePosNeg,TimeBackFront,TimeSimProx,TimeTaskDem,TimeAes,TimeOther,QuantityInterview,QuantityTimeline,QuantityClock,QuantityMaths,QuantityNumbers,QuantityHandedness,QuantityWriting,QuantityEnvironment,QuantityHierarchy,QuantityPosNeg,QuantityBackFront,QuantitySimProx,QuantityTaskDem,QuantityAes,QuantityOther,ValenceInterview,ValenceTimeline,ValenceClock,ValenceMaths,ValenceNumber,ValenceHandedness,ValenceWriting,ValenceEnvironment,ValenceHierarchy,ValenceBackFront,ValenceSimProx,ValenceTaskDem,ValenceAes,ValenceOther
28,Male,Left,2,Horizontal,Diagonal,Diagonal,Horizontal,Diagonal1,Diagonal1,"I put them on that axis because it’s one scale - it’s one linear option - it’s either past or future… It’s one timeline, so that’s why I put it on that axis because that normally denotes time.",yes,no,no,no,no,no,no,no,no,no,no,no,no,no,"Because this one’s a bit more ambiguous, I’ve put least in the bottom left and most in the top right, because I guess that’s the lowest point in that side and that’s the lowest point on that side, typically, so you’d think the most is… If you’re thinking about this sort of graph and axes - let’s use an example of a cake. Say this axis is large and that’s taste, most intense is going to be the biggest and tastiest cake, but the least is going to be the smallest and the crappiest one.",no,no,yes,no,no,no,no,no,yes,no,no,no,no,yes,"I guess you can apply a similar principle to that one [most vs. least], so with worst there can be multiple attributes to something that’s worst and that’s why it’s not on a particular axis, and same for best - there could be multiple reasons why they’re the best.",no,no,no,no,no,no,no,no,no,no,no,no,yes
29,Female,Right,2,Horizontal,Horizontal,Vertical,Horizontal,Horizontal,Vertical,"Because I see future and past on a line like that, and past being before and future after, so that’s why I chose that one.",no,no,no,no,no,no,no,no,no,no,no,no,no,no,"I didn’t know about this one - I was like… I don’t know, I just put it on the same line as that one, with the least being less and most being more, so I just thought that’d be like that. So I see least as left - I don’t know why. It might be because I’m right handed.",no,no,no,no,yes,no,no,no,no,no,no,no,no,yes,"I dunno, I see it as a line - up and down. Like worst is when you’re going down - I think it’s linked to worst being down, feeling down and stuff like that. When you’re feeling at your worst, you feel down and depressed and stuff like that, so it’d be on the line like that. You don’t feel physically down but the word down is associated with it.",no,no,no,no,no,no,no,no,no,no,no,no,no
30,Male,Right,2,Horizontal,Vertical,Vertical,Horizontal,Vertical,Vertical,"Just because it’s moving on an x axis. It’s how I’d visualise the movement of time. I don’t really know why that is. Because there’s an inability to move backwards or forwards - it’s just completely linear, so it’s moving on an x axis.",no,no,no,no,no,no,no,no,no,no,no,no,no,no,"Again, very similar to better and worst. It’s more being an increase in positive numbers across the axis, and least being a decrease in negative numbers across the axis. There wasn’t any reason why I drew the numbers in the middle - just habit. It just looked better on the page.",no,no,yes,yes,no,no,no,no,no,no,no,no,yes,yes,"I just saw it as a positive and a negative, so as you move into the positive you’re getting better, so you’re moving upwards, and moving into the negative you’d be going down, decreasing along the axis. Just because the correlation between positive and the word better, and negative and the word worst would be correlated with positive and negative on an axis.",no,no,yes,no,no,no,no,no,no,no,no,no,no
31,Male,Left,1,Diagonal,Horizontal,Diagonal,Diagonal1,HorizontalReverse,Diagonal2Reverse,"For past and future I’ve done past near the bottom left because it’s at a distance, so it’s like, say past is something that’s already done, so it’s buried in the bottom corner, whereas future is at an angle. It’s a bit like, do you know you have a product life, where it’s going in a diagonal? In like, say, business studies they have product lives where you have a graph, and it shows a progression, and sometimes it’s just like a straight diagonal line, so I’ve done that with past and future, so past is going below the zero where it’s already done, and future’s keep going the top of the chart diagonal, so that’s why I’ve done it kind of diagonal to each other and past at the bottom and future on the top.",no,no,yes,yes,no,no,no,no,no,no,no,no,no,no,"For most and least, I dunno… I think it was just natural. I just done M and L next to each other, but it’s… I dunno, it’s hard to explain. I dunno. I just did it out of the blue right next to each other, and it’s just how to explain. Sorry about that.",no,no,no,no,no,no,no,no,no,no,no,no,no,no,"I think it’s like a scale, so it’s like d’you know when you go higher and lower? You have lower down the bottom of the chart and you have higher at the top, so I just imagined it as best and worst. You have best near the top – that’s why I’ve done it. I would have done it in one of these two and then worst in these two. It didn’t matter to me which of the quadrants it was in. I probably should have done it across the line. Yeah, either one of these two or one of them two, just to show the scale – best should be on top of worst.",no,no,yes,no,no,no,no,no,no,no,no,no,no
32,Male,Right,2,Horizontal,Horizontal,Vertical,Horizontal,Horizontal,VerticalReverse,"Because we read left to right. You assume left is past, right’s forward. Same with video games – left to right, it’s always left to right, unless you’re in the middle east, and it’s right to left.",no,no,no,no,no,yes,no,no,no,no,no,no,no,no,"Pretty much the same reason: left-right, left is less – it’s something you don’t really have to think about; right’s more, it’s a progression. Future, more, more time.",no,no,no,no,no,no,no,no,no,no,no,no,no,yes,"Ah well you didn’t tell me worst to best of what, so they’re equal, and in this grid, equals is in the middle. So it would depend on what you’re asking me is worse and what’s better. It’d be the same as less and more – if you gave me two foods and asked me which is better and which is worse on a scale, or a film – something that’s subjective – I’d put worst on the left, right on the best. It’s the same reason really: past-future, it’s visual, left-right. We’re Western. It’s how we read, how we watch stuff.",no,no,no,no,no,yes,no,no,no,no,no,no,yes
33,Male,Right,2,Horizontal,Vertical,Diagonal,Horizontal,Vertical,Diagonal1,"Kind of like because on a timeline, past is always gonna be further left and present and future is gonna be further right so just left and right for past and future.",yes,no,no,no,no,no,no,no,no,no,no,no,no,no,"Just because least is generally lower and most is higher, so I put least at the bottom and most at the top. Because of how it’s used in terms of, you say if something’s the most, it’s gonna be high or good or the best, whereas least is always going to be the worst or the lowest.",no,no,no,no,no,no,no,no,yes,no,no,no,no,no,"Kind of like ‘cause it’s on a chart, so in a graph, the worst is probably lower on, whereas best is higher up in a graph, presuming both sides are like… so I always think of the best as up here and the worst as lower and left.",no,no,yes,no,no,no,no,no,no,no,no,no,no
34,Male,Left,2,Diagonal,Horizontal,Diagonal,Diagonal1,Horizontal,Diagonal1,"I don’t really know. It just seemed like two extremes. So I guess I maybe visualised the present in the centre, so you just move away. And if I’m thinking of time moving, I always think of it moving from left to right, so future would be more towards the right. But then I don’t know why I put it in the top corner. I have no idea why I did that, but past towards the left.",no,no,no,no,no,no,no,no,no,no,yes,no,no,no,"Similar principles but I was just thinking about the x axis, so the least, most minus values would be on the left and the most would be on the right. I don’t know why this made me just think about the x axis. I think because I think least and most is more specific than best and worst. I guess I’m sort of second-guessing myself here and I didn’t fully, consciously understand but I think it’s just because I was more attuned to the idea of it being in a linear spectrum. Because best and worst are so nebulous whereas most you can sort of plot quite linearly, I suppose.",no,no,yes,no,no,no,no,no,no,no,no,no,no,yes,"Because if they were axes then the higher positive values would be in this quadrant, and higher values often mean better, more points et cetera. And worse values would be in the bottom left. I suppose that was it, really.",no,no,yes,no,no,no,no,no,no,no,no,no,no
35,Female,Right,1,Diagonal,Vertical,Vertical,Diagonal2Reverse,Vertical,Vertical,"So the past I put right in the corner because I just thought that that’s the past, it’s right behind you, it’s gone, and then the future is just like ahead in the corner. But it’s on a diagonal. So I think left is ahead.",no,no,no,no,no,no,no,no,no,yes,no,no,no,no,"Same sort of thing [as for valence], of the most thing that you like or the most things that you relate to. It’s just gonna be at the top and the least, your least favourite things are gonna be at the bottom. I dunno, I just think of it as a scale. I don’t know why.",no,no,no,no,no,no,no,no,yes,no,no,no,no,yes,"Because I always think with best, when you put it on a scale, best is always on the top and then worst is on the bottom, so I think that’s just how I think of it. On a scale.",no,no,no,no,no,no,no,no,no,no,no,no,no
36,Female,Right,2,Horizontal,Diagonal,Diagonal,Horizontal,Diagonal1,Diagonal2Reverse,"I saw it as more of a timeline with the quadrants, so past from the left and moving towards the future, almost like a timeline.",yes,no,no,no,no,no,no,no,no,no,no,no,no,no,"Similar thing [to valence] but I didn’t want to repeat myself. I was really conscious of doing the same thing. It’s almost like a graph, so least and then it increased with most, so lower to higher, I guess. But I also was quite conscious of doing the same thing.",no,no,yes,no,no,no,no,no,no,no,no,yes,no,yes,"I just feel like best is better than being bad and being worse so it was higher up on the quadrants. I don’t know – I always see things left to right, so I see it as best being at the left towards the top and then worst being near the bottom. I just think how you write things you’d start with the best and you’d end with the worst so it’d go left to right. I guess – I don’t really know.",no,no,no,no,no,yes,no,no,no,no,no,no,no
37,Male,Right,1,Horizontal,Horizontal,Diagonal,Horizontal,Horizontal,Diagonal1,"I thought of it as like a timeline, chronologically ordered timeline, with the past far left, future far right, literally that’s what I thought of. I could have done something weird but I can’t lie – that’s what I thought of. ",yes,no,no,no,no,no,no,no,no,no,no,no,no,no,"And then for the next one it’s literally the same thing. Least, far left, most… My second thought was to put least on the bottom and then most at the top, but I dunno – that was the first thing I thought of. Weirdly, it was the same as past and future, which might be interesting – I dunno.",no,no,no,no,no,no,no,no,no,no,no,no,no,yes,"Before I saw the other two, which were past and future and stuff – they were much clearer words – for this, for some reason, my mind was like ‘where’s the best place? where’s the most fitting place to put them on the page?’, so best I just thought in the middle, between, intersecting them. Like darts, bullseye – even though bullseye’s not the best, not a great example, but I dunno, it just seemed like the most precise place to put it. Worst is in an awkward place. It’s sort of at the bottom, it’s not at the side. For some reason, I thought of a goal like in football, so that’s a bad place to put the ball, it’d be a shit penalty. That’s literally what I thought of.",no,no,no,no,no,no,no,no,no,no,no,no,yes
38,Female,Right,2,Diagonal,Diagonal,Diagonal,Diagonal2Reverse,Diagonal1,Diagonal2,"Yeah, again, I don’t know. I don’t know why. ",no,no,no,no,no,no,no,no,no,no,no,no,no,no,"Again, I don’t know. I just feel like that’s where they were meant to be on the page. And I feel like maybe there is a reason for that but I don’t know what it is. Maybe you know why that is.",no,no,no,no,no,no,no,no,no,no,no,no,no,no,"I don’t really know. Just that was where I instinctually wanted to put them. No real reason, to be honest.",no,no,no,no,no,no,no,no,no,no,no,no,no
39,Female,Right,1,Horizontal,Diagonal,Diagonal,Horizontal,Diagonal1,Diagonal1,"This, I instantly thought of a timeline, so future is ahead of you, and past is back here. ",yes,no,no,no,no,no,no,no,no,yes,no,no,no,no,"So most and least I looked at it as like… most and least, in my head it was kind of like one study, so I just looked at the one axis, so I just kind of put it within them. Most up there because it’s the most along those two, and least would be zero down here. I don’t know why that one was different to the last one [valence]… Because I think most and least kind of suggest that it was almost like a study and I was ranking it like that, if that makes sense? I don’t know why it was different, it was just how it was kind of visually a bit different. ",no,no,yes,yes,no,no,no,no,no,no,no,no,no,yes,"My initial thought was that best would just be at the top, ‘cause that’s the most positive, and worst was just at the bottom. Because when you look at these, I think that this is normally minus, like when you do it in maths, and that’s why I went for the best top corner over the worst. ",no,no,yes,no,no,no,no,no,no,no,no,no,no
40,Male,Right,2,Horizontal,Horizontal,Vertical,Horizontal,Horizontal,Vertical,"That one I saw it as a timeline. It’s hard to describe – past, future, and it just felt right to put them in that order.",yes,no,no,no,no,no,no,no,no,no,no,no,no,no,"I didn’t really know about that one. I did spend a bit of time on it, but it felt right to put it on that axis, I guess.",no,no,no,no,no,no,no,no,no,no,no,no,no,no,"That was basically based on how you usually see things from worst to best, like in a list or whatever, so worst at the bottom, best at the top, I guess.",no,no,no,no,no,no,no,no,no,no,no,no,no
41,Male,Right,1,Diagonal,Vertical,Diagonal,Diagonal1,Vertical,Diagonal2Reverse,"I think it might have begun with the left-to-right. I made sure to put past on the left hand side and future on the right, because the future is kind of looking forward, and past is looking back, so like the back end. I’m not too sure about why… I think maybe I put past on the bottom left because it seemed a bit further away, if that makes sense, so that seemed a bit distant. I’m not sure why I put future on the top right than the bottom left.",no,no,no,no,no,no,no,no,no,yes,no,no,no,no,"Again, most at the top and least at the bottom was what I was going for. I think most, it was the same sort of ideology as in it’s the reading left to right, so I put most at the top left. I think putting things in the top left signifies importance, so I put it in the top left. And then least I put on the bottom. I’m not sure why I put left over right but I made sure to put it on the bottom row.",no,no,no,no,no,yes,no,no,yes,no,no,no,no,yes,"Well I associated best with higher up, so I made sure to put the best at the top and the worst at the bottom. I’m not too sure about the rest of it, really. I think maybe if I’m reading left to right, maybe I just did best before worst, so I’ve got best towards the top left and worst in the bottom right. I think it’s like if you’re reading something, maybe the winner comes up first or something, so maybe that influenced it. Like if you’re reading about the results of something, I think maybe that influenced it, so I just thought putting best at the top left would be the primary, the first thing you sort of read.",no,no,no,no,no,yes,no,no,no,no,no,no,no
42,Female,Left,2,Diagonal,Diagonal,Diagonal,Diagonal2,Diagonal1,Diagonal2,"Kind of the opposite to the least and most thinking. I was seeing it as past being the most recent in the graph because I just saw it as a graph rather than a box. Past is most recent to you whereas future could be far ahead on the scale, so past went up there and future went down there.",no,no,yes,no,no,no,no,no,no,no,no,no,no,yes,"I put the L here in the bottom left and the M in the top right because to me I saw it as a scale, as in a graph going from whatever the least quantity is to the most. And that’s all that drove me to do that and that.",no,no,yes,no,no,no,no,no,no,no,no,no,no,no,"To begin with, it was just like where I imagined them in my head. I just thought W goes here, B goes here, in the top left and then the top right, bottom right, respectively. But I didn’t think of anything past that. I didn’t think of it as a scale or anything. It was just where I put them.",no,no,no,no,no,no,no,no,no,no,no,no,no
43,Female,Right,1,Horizontal,Vertical,Horizontal,Horizontal,Vertical,Horizontal,"The same as best and worst. Past is in the back, so future’s forward. I dunno why it was that side. I just did it that way.",no,no,no,no,no,no,no,no,no,yes,no,no,no,yes,"The other way [to valence], ‘cause less is smaller and most is bigger.",no,no,no,no,no,no,no,no,no,no,no,no,no,yes,"‘Cause it’s like a line. Worst starts at the end, best at the other end. That was it. ‘Cause you start from the back, so like from 1 and you get bigger – bigger numbers are normally better, if you know what I’m trying to say. ",no,no,yes,yes ,no,no,no,no,no,no,no,no,no
44,Male,Left,2,Diagonal,Diagonal,Diagonal,Diagonal2,Diagonal1,Diagonal1,"I kind of did it like how you’d read it on a page, as in future would be the last thing you read and past would be the first thing.",no,no,no,no,no,yes,no,no,no,no,no,no,no,no,I did it like a correlation graph.,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,The same thing again – a sort of correlation.,no,no,yes,no,no,no,no,no,no,no,no,no,no
45,Male,Right,2,Diagonal,Diagonal,Diagonal,Diagonal1,Diagonal1,Diagonal2,"And then future and past, so I put past kind of around the middle because when I think of the deep timeline of the universe, past for us is quite recent, whereas I think that future is a lot bigger than our past as humans. And in my opinion, I’m more interested in what goes on in the future and more recent history than medieval and ancient history, so I kind of favoured future on this one.",yes,no,no,no,no,no,no,no,yes,no,no,no,no,no,"So for least and most… For most I actually imagined a normal distribution, so a bell-shaped curve and put most where the mean and mode would be on that, because I guess that relates to lots of different things when you look at populations and lots of different things like heights and salaries and things like that. And then for least, I thought about it more in terms of quadrants, like least kind of belongs down here in the bottom left, but I wasn’t thinking of any specific examples when I was thinking about least.",no,no,yes,no,no,no,no,no,no,no,no,no,no,no,"So I put best furthest along the x axis because I guess it’s associated with excelling, so I guess you’ve got the highest value in one direction. And then the worst – I put it in the middle ground because being bad is common, worst is common. I didn’t want to single it out and put it too extreme, because I feel like it’s quite a common, friendly concept.",no,no,no,no,no,no,no,no,no,no,no,no,no
46,Female,Right,1,Horizontal,Vertical,Vertical,Horizontal,Vertical,Vertical,"I saw it kind of like a timeline, and they’re normally horizontal, so dates going across from past to future.",yes,no,no,no,no,no,no,no,no,no,no,no,no,no,"The same [as valence] really. Just in terms of numbers, the highest number would be at the top and the lowest would be at the bottom.",no,no,yes,yes,no,no,no,no,no,no,no,no,no,yes,Just that best is at the top and worst is at the bottom. I don’t know why I went for that axis rather than that one but… I guess because best is normally the highest number and on an axis would be up here. ,no,no,yes,yes ,no,no,no,no,no,no,no,no,no
47,Male,Right,1,Horizontal,Vertical,Diagonal,Horizontal,Vertical,Diagonal2Reverse,"I thought of it chronologically. It’s like a timeline, with past on the left and then future on the right.",yes,no,no,no,no,no,no,no,no,no,no,no,no,no,"So kind of like a vertical scale with most being at the top, least being the bottom, like you were filling up a jug of water or something.",no,no,no,no,no,no,yes,no,no,no,no,no,no,no,"So the best I was thinking at the top but also first, so best in top left and then worst is obviously opposite so bottom right.",no,no,no,no,no,no,no,no,no,no,no,no,no
48,Male,Right,2,Horizontal,Diagonal,Horizontal,Horizontal,Diagonal1,Horizontal,"With future and past I think time is kind of more linear and we don’t tend to go up and down with time. We feel like it’s a horizontal line, I guess, so future is gonna be more, and the past is less, so left and right, I guess.",no,no,no,no,no,no,no,no,no,no,no,no,no,no,"Well, again, like before [valence], but this time because you think of axes, mathematically, I think that’s the most, that’s the most, so that’s the most and the least, and that’s why.",no,no,yes,no,no,no,no,no,no,no,no,no,no,yes,"I guess often you think of more of something being better, and so more of something is usually on the right, but I didn’t go for the corner because I felt that sometimes you see diagrams showing different axes which are not necessarily related and sometimes that’s irrelevant to it, I guess. That’s kind of my reasoning.",no,no,yes,no,no,no,no,no,no,no,no,no,yes
49,Male,Right,1,Horizontal,Horizontal,Horizontal,Horizontal,HorizontalReverse,HorizontalReverse,"Literally, I thought well I’ve got no good reason to put them in any quadrant so I might as well put one in the first quadrant and one in the second quadrant, and that’s the same for all of these. I had no other basis to do it on.",no,no,no,no,no,no,no,no,no,no,no,no,no,no,"Literally, I thought well I’ve got no good reason to put them in any quadrant so I might as well put one in the first quadrant and one in the second quadrant, and that’s the same for all of these. I had no other basis to do it on.",no,no,no,no,no,no,no,no,no,no,no,no,no,no,"Literally, I thought well I’ve got no good reason to put them in any quadrant so I might as well put one in the first quadrant and one in the second quadrant, and that’s the same for all of these. I had no other basis to do it on.",no,no,no,no,no,no,no,no,no,no,no,no,no
50,Female,Right,2,Diagonal,Diagonal,Diagonal,Diagonal1,Diagonal1,Diagonal2,"Future felt like it should be ahead, and past felt like it should be behind, and it seems like I’ve done all of them opposite. It’s on top and it’s on the right and you read left to right – stuff is ahead that way and back that way.",no,no,no,no,no,yes,no,no,no,yes,no,no,no,no,"Most seemed like it had to be bigger and least felt like it should be smaller and in the corner, but I don’t know why they were there and there.",no,no,no,no,no,no,no,no,no,no,no,no,no,no,I felt like best should be on the right and I didn’t really know why. That’s about it. There wasn’t any reason why they were in different positions vertically. No. It just made sense.,no,no,no,no,no,no,no,no,no,no,no,no,no
